sourceSystemName,lastEventType,flightDate,flightNumber,Origin,Destination,FleetType,AircraftRegistration
VISOPS,IN,2025-02-17,1351,SJO,LAX,737-800E,N518AS
VISOPS,IN,2025-02-17,1354,GUA,LAX,737-M8E,N803AK
VISOPS,IN,2025-02-17,118,ANC,SEA,737-700W,N615AS
VISOPS,IN,2025-02-17,150,ANC,LAX,737-900R,N272AK
VISOPS,BAGCAROUSEL,2025-02-17,172,ANC,SEA,737-700W,N618AS
VISOPS,IN,2025-02-17,210,FAI,SEA,737-M9E,N958AK
VISOPS,IN,2025-02-17,198,ANC,PDX,737-900E,N413AS
VISOPS,IN,2025-02-17,190,ANC,SEA,737-900R,N273AK
VISOPS,IN,2025-02-17,100,ANC,SEA,737-M9E,N937AK
VISOPS,IN,2025-02-17,519,FLL,SEA,737-M9E,N982AK
VISOPS,IN,2025-02-17,459,BOS,SEA,737-M9E,N973AK
VISOPS,IN,2025-02-17,1021,MCO,SAN,737-900R,N263AK
VISOPS,BAGCAROUSEL,2025-02-17,359,TPA,SEA,737-900E,N407AS
VISOPS,IN,2025-02-17,308,IAD,SEA,737-M9E,N961AK
VISOPS,IN,2025-02-17,395,MCO,SEA,737-900R,N224AK
VISOPS,IN,2025-02-17,1077,FLL,PDX,737-900E,N434AS
VISOPS,IN,2025-02-17,387,MSP,SEA,737-900W,N307AS
VISOPS,IN,2025-02-17,1320,GDL,LAX,737-900E,N442AS
VISOPS,IN,2025-02-17,383,BNA,SEA,737-M9E,N947AK
VISOPS,IN,2025-02-17,1,DCA,SEA,737-800,N523AS
VISOPS,IN,2025-02-17,291,MCI,SEA,737-M9E,N915AK
VISOPS,IN,2025-02-17,504,STL,SEA,737-M9E,N723AL
VISOPS,IN,2025-02-17,203,PHX,PDX,737-900R,N288AK
VISOPS,IN,2025-02-17,433,TPA,SAN,737-M9E,N983AK
VISOPS,IN,2025-02-17,377,ATL,SEA,737-900R,N214AK
VISOPS,IN,2025-02-17,605,PHX,SEA,737-800E,N560AS
VISOPS,IN,2025-02-17,723,AUS,SEA,737-M9E,N946AK
VISOPS,IN,2025-02-17,453,IAH,SEA,737-M9E,N968AK
VISOPS,IN,2025-02-17,333,ORD,SEA,737-900R,N296AK
VISOPS,IN,2025-02-17,124,PDX,SEA,737-800E,N533AS
VISOPS,IN,2025-02-17,5,DCA,LAX,737-800E,N586AS
VISOPS,IN,2025-02-17,604,SEA,PHX,737-900W,N318AS
VISOPS,IN,2025-02-17,286,LAX,EWR,737-M9E,N952AK
VISOPS,IN,2025-02-17,1460,ANC,SEA,737-800E,N564AS
VISOPS,IN,2025-02-17,675,LAS,SEA,737-M9E,N725AL
VISOPS,IN,2025-02-17,1111,LAX,PDX,737-M9E,N978AK
VISOPS,IN,2025-02-17,1331,LIR,LAX,737-M9E,N953AK
VISOPS,IN,2025-02-17,543,DFW,SEA,737-900R,N292AK
VISOPS,IN,2025-02-17,643,DEN,SEA,737-900E,N448AS
VISOPS,IN,2025-02-17,1326,SEA,SNA,737-800E,N534AS
VISOPS,IN,2025-02-17,799,PHX,SEA,737-900E,N457AS
VISOPS,IN,2025-02-17,1089,LAS,PDX,737-800E,N596AS
VISOPS,IN,2025-02-17,1091,ONT,SEA,737-900E,N435AS
VISOPS,IN,2025-02-17,966,GEG,SEA,737-900R,N260AK
VISOPS,IN,2025-02-17,1072,FAI,ANC,737-800,N552AS
VISOPS,IN,2025-02-17,1017,RNO,SEA,737-900E,N408AS
VISOPS,IN,2025-02-17,280,SEA,EWR,737-M9E,N716AL
VISOPS,IN,2025-02-17,1177,SAN,PDX,737-800E,N513AS
VISOPS,IN,2025-02-17,195,SJC,SAN,737-800E,N577AS
VISOPS,IN,2025-02-17,1245,SAN,SEA,737-800E,N566AS
VISOPS,DELAY,2025-02-17,613,LAS,SFO,737-M9E,N938AK
VISOPS,IN,2025-02-17,1258,SEA,SAN,737-M9E,N936AK
VISOPS,IN,2025-02-17,39,JFK,PSP,737-900R,N270AK
VISOPS,IN,2025-02-17,1369,AUS,SFO,737-900R,N253AK
VISOPS,IN,2025-02-17,36,JFK,SFO,737-900R,N281AK
VISOPS,IN,2025-02-17,30,SFO,JFK,737-900R,N290AK
VISOPS,IN,2025-02-17,347,MCO,SEA,737-900E,N495AS
VISOPS,IN,2025-02-17,55,SCC,ANC,737-700W,N619AS
VISOPS,IN,2025-02-17,18,PDX,JFK,737-M9E,N941AK
VISOPS,IN,2025-02-17,767,TUS,SEA,737-900E,N423AS
VISOPS,IN,2025-02-17,884,FLL,SAN,737-M9E,N903AK
VISOPS,IN,2025-02-17,1323,SNA,SEA,737-800,N525AS
VISOPS,IN,2025-02-17,1181,SNA,PDX,737-800,N527AS
VISOPS,IN,2025-02-17,7001,JNU,ANC,737-700F,N625AS
VISOPS,IN,2025-02-17,204,SMF,SEA,737-900E,N483AS
VISOPS,BAGCAROUSEL,2025-02-17,1125,OAK,SEA,737-900R,N251AK
VISOPS,IN,2025-02-17,73,JNU,ANC,737-700W,N644AS
VISOPS,IN,2025-02-17,368,SFO,MCO,737-M9E,N971AK
VISOPS,IN,2025-02-17,324,PDX,ORD,737-900R,N264AK
VISOPS,IN,2025-02-17,912,SFO,SAN,737-M9E,N934AK
VISOPS,IN,2025-02-17,1070,PDX,LAX,737-900E,N487AS
VISOPS,IN,2025-02-17,1154,SAN,SEA,737-M9E,N962AK
VISOPS,IN,2025-02-17,1400,SEA,CUN,737-M9E,N967AK
VISOPS,IN,2025-02-17,392,PDX,DFW,737-M9E,N966AK
VISOPS,IN,2025-02-17,537,BOS,SEA,737-M9E,N985AK
VISOPS,IN,2025-02-17,618,ABQ,SEA,737-M9E,N724AL
VISOPS,IN,2025-02-17,512,SFO,AUS,737-900E,N464AS
VISOPS,IN,2025-02-17,718,SFO,LAS,737-800E,N512AS
VISOPS,IN,2025-02-17,1101,PDX,LAS,737-M9E,N954AK
VISOPS,IN,2025-02-17,1365,LAX,PVR,737-800E,N593AS
VISOPS,IN,2025-02-17,65,JNU,ANC,737-700W,N609AS
VISOPS,IN,2025-02-17,1246,SEA,LAX,737-900R,N238AK
VISOPS,IN,2025-02-17,867,PDX,KOA,737-M9E,N912AK
VISOPS,IN,2025-02-17,1428,SFO,SJD,737-900E,N474AS
VISOPS,IN,2025-02-17,645,PHX,SEA,737-M9E,N722AL
VISOPS,IN,2025-02-17,762,PDX,PHX,737-900,N302AS
VISOPS,IN,2025-02-17,1178,LAX,SEA,737-M9E,N719AL
VISOPS,IN,2025-02-17,188,ANC,SEA,737-900E,N402AS
VISOPS,IN,2025-02-17,1298,PDX,SNA,737-800,N546AS
VISOPS,IN,2025-02-17,804,PDX,OGG,737-M9E,N706AL
VISOPS,IN,2025-02-17,732,PAE,PHX,737-M9E,N707AL
VISOPS,IN,2025-02-17,488,SMF,SJD,737-900E,N428AS
VISOPS,IN,2025-02-17,1279,GEG,LAX,737-M9E,N956AK
VISOPS,IN,2025-02-17,1058,ONT,PDX,737-800E,N557AS
VISOPS,IN,2025-02-17,850,PAE,HNL,737-M9E,N291BT
VISOPS,IN,2025-02-17,1344,SFO,PVR,737-M9E,N720AL
VISOPS,IRROP,2025-02-17,358,PDX,BOS,737-M9E,N978AK
VISOPS,BAGCAROUSEL,2025-02-17,1041,BUR,SEA,737-M9E,N932AK
VISOPS,IN,2025-02-17,300,PDX,MCO,737-M9E,N955AK
VISOPS,IN,2025-02-17,61,CDV,ANC,737-700W,N611AS
VISOPS,IN,2025-02-17,211,SEA,LAS,737-M8E,N801AK
VISOPS,IN,2025-02-17,769,PDX,LIH,737-800E,N590AS
VISOPS,IN,2025-02-17,1188,SEA,PSP,737-900R,N287AK
VISOPS,IN,2025-02-17,1200,LAS,LAX,737-800E,N517AS
VISOPS,IN,2025-02-17,24,SAN,JFK,737-M9E,N948AK
OPS360,IRROP,2025-02-17,1032,PDX,SEA,737-M9E,N921AK
VISOPS,IN,2025-02-17,236,FAI,SEA,737-M9E,N926AK
VISOPS,RELEASE,2025-02-17,972,PIT,YYZ,737-900E,N431AS
VISOPS,IN,2025-02-17,974,SAN,PDX,737-900,N303AS
VISOPS,IN,2025-02-17,292,SFO,EWR,737-M9E,N979AK
